id,name,genre,year
tt0003014,Ingeborg Holm,Drama,1913
"tt0003015,Die Insel der Seligen,""Comedy,Fantasy"",1913"
"tt0003022,Ivanhoe,""Adventure,Drama,Romance"",1913"
tt0003024,Jack London's Adventures in the South Sea Islands,Documentary,1913
"tt0003037,Fantomas: The Man in Black,""Crime,Drama"",1913"
tt0003039,The Keys to Happiness,Drama,1913
tt0003042,Kleiner Svend und seine Mutter,Drama,1913
tt0003048,A Lady of Quality,Drama,1913
"tt0003056,Leah Kleschna,""Crime,Drama"",1913"
tt0003058,The Legend of Provence,Drama,1913
tt0003069,Lille Klaus og store Klaus,Comedy,1913
"tt0003070,The Lipton Cup: Introducing Sir Thomas Lipton,""Drama,Sport"",1913"
tt0003076,Livets konflikter,Drama,1913
tt0003084,The Lotus Dancer,Drama,1913
tt0003098,The Lure of New York,Drama,1913
tt0003102,Love Everlasting,Drama,1914
"tt0003108,Macbeth,""Crime,Drama"",1913"
tt0003116,The Man from the Golden West,Western,1913
"tt0003131,War Is Hell,""Drama,War"",1914"
tt0003139,Mexican War Pictures,Documentary,1913
tt0003140,Mexican War Pictures,Documentary,1913
tt0003150,Miraklet,Drama,1913
"tt0003159,""Les Misérables, Part 2: Fantine"",Drama,1913";
"tt0003165,Fantômas: The Dead Man Who Killed,""Crime,Drama,Mystery"",1913";
"tt0003167,""Home, Sweet Home"",Drama,1914";
tt0003171,Moths,Drama,1913;
"tt0003227,""The Girl from Abroad";" or, The Great Underworld"",Drama,1913"
"tt0003241,One Hundred Years of Mormonism,""Drama,History"",1913";
"tt0003267,""The Pendleton, Oregon, Round-Up"",Documentary,1913";
tt0003287,Pommy Arrives in Australia,Comedy,1913;
tt0003289,The Port of Doom,Drama,1913;
"tt0003298,A Princess of Bagdad,""Drama,Fantasy"",1913";
tt0003299,A Prisoner in the Harem,Drama,1913;
tt0003301,The Prisoner of Zenda,Adventure,1913;
tt0003306,På livets ödesvägar,Drama,1913;
tt0003316,The Rattlesnake,Western,1913;
"tt0003324,A Regiment of Two,""Comedy,Drama"",1913";
"tt0003330,The Life of Richard Wagner,""Biography,Drama,History"",1913";
tt0003334,The Road to Ruin,Drama,1913
tt0003337,Robin Hood,Adventure,1913
tt0003351,Sapho,Drama,1913
tt0003362,The Sea Wolf,Drama,1913
"tt0003363,The Seed of the Fathers,""Drama,War"",1913"
tt0003365,Shadows of the Moulin Rouge,Drama,1913
tt0003366,The Shame of the Empire State,Drama,1913
tt0003367,The Shattered Vase,Drama,1913
tt0003378,A Sister to Carmen,Drama,1913
tt0003379,Sixty Years a Queen,Biography,1913
tt0003386,Sodoms Ende,Drama,1913
tt0003404,The Star of India,Drama,1913
"tt0003414,The Stranglers of Paris,""Crime,Drama"",1913"
"tt0003419,The Student of Prague,""Drama,Fantasy,Horror"",1913"
tt0003438,Ten Nights in a Barroom,Drama,1913
"tt0003442,Tess of the D'Urbervilles,""Drama,Romance"",1913"
tt0003449,The Third Degree,Drama,1913
tt0003464,The Tonopah Stampede for Gold,Western,1913
tt0003469,Tortures Within Prison Walls,Drama,1913
tt0003470,A Tourada dos Casimiros,Documentary,1913
"tt0003471,Traffic in Souls,""Crime,Drama"",1913"
"tt0003489,The Last Days of Pompeii,""Adventure,Drama"",1913"
tt0003506,The Vicar of Wakefield,Drama,1913
